,1. open,2. high,3. low,4. close,5. volume
2022-06-29 12:10:00,223.6700,223.9000,223.1270,223.4400,492459
2022-06-29 12:05:00,224.7550,224.8100,223.6000,223.7250,508923
2022-06-29 12:00:00,225.0830,225.2930,224.3400,224.6630,381165
2022-06-29 11:55:00,225.2930,225.6230,224.7330,225.0900,342978
2022-06-29 11:50:00,224.5500,225.6670,224.3630,225.3030,523377
2022-06-29 11:45:00,224.6180,225.8180,224.3900,224.5180,642693
2022-06-29 11:40:00,224.7930,225.1300,224.4600,224.5970,497592
2022-06-29 11:35:00,224.2670,225.2230,224.0000,224.9000,634269
2022-06-29 11:30:00,223.9000,224.6970,223.4110,224.2260,545229
2022-06-29 11:25:00,223.0480,224.2070,222.8470,223.8080,608757
2022-06-29 11:20:00,223.9330,223.9950,222.2730,223.0270,1056048
2022-06-29 11:15:00,223.7380,224.4570,223.3470,223.8030,557232
2022-06-29 11:10:00,224.5870,224.9670,223.5030,223.7130,714612
2022-06-29 11:05:00,224.8600,225.2080,224.0170,224.5770,760890
2022-06-29 11:00:00,225.2870,225.6000,224.7290,224.8200,507321
2022-06-29 10:55:00,226.4530,226.5100,225.2000,225.3230,606567
2022-06-29 10:50:00,226.2310,227.6670,225.9400,226.4530,1069572
2022-06-29 10:45:00,226.2780,227.0000,225.8930,226.1700,766464
2022-06-29 10:40:00,225.3350,226.5430,224.9630,226.2120,741135
2022-06-29 10:35:00,225.9820,225.9820,224.3330,225.3450,680919
2022-06-29 10:30:00,225.7730,226.6530,225.0330,225.9900,782871
2022-06-29 10:25:00,225.8430,227.2400,225.4170,225.7270,917595
2022-06-29 10:20:00,225.1680,225.9630,224.5400,225.8170,901245
2022-06-29 10:15:00,226.8600,227.5210,225.0500,225.1130,1059741
2022-06-29 10:10:00,228.2230,229.1600,226.8230,226.8780,884925
2022-06-29 10:05:00,228.8080,229.5870,227.8300,228.1630,1095840
2022-06-29 10:00:00,227.2170,229.2570,226.5570,228.8730,1366827
2022-06-29 09:55:00,227.7950,228.2700,226.5330,227.4000,1189644
2022-06-29 09:50:00,225.4120,228.6670,225.3330,227.8200,1933743
2022-06-29 09:45:00,224.4370,225.9600,223.7600,225.4480,1406232
2022-06-29 09:40:00,225.2630,226.2570,223.7600,224.5000,1976592
2022-06-29 09:35:00,226.7700,227.6670,225.1670,225.2230,2218176
2022-06-29 09:30:00,230.5370,231.1730,226.8330,226.8330,2738541
2022-06-28 15:55:00,233.6530,233.7770,232.5300,232.6270,1024368
2022-06-28 15:50:00,233.2100,233.7070,232.7670,233.7070,574563
2022-06-28 15:45:00,233.1180,233.4470,232.7430,233.3350,513954
2022-06-28 15:40:00,233.5400,233.6670,232.9670,233.1570,451644
2022-06-28 15:35:00,233.7480,233.8970,232.9830,233.5920,475803
2022-06-28 15:30:00,233.9830,234.4470,233.6170,233.6700,479016
2022-06-28 15:25:00,233.8330,234.1670,233.4400,233.9600,585144
2022-06-28 15:20:00,233.2370,233.9930,232.8100,233.8830,563847
2022-06-28 15:15:00,232.7780,233.4870,232.4730,233.2200,552663
2022-06-28 15:10:00,233.0270,233.2670,232.3430,232.7750,641364
2022-06-28 15:05:00,233.3570,233.6430,232.6770,233.0570,482226
2022-06-28 15:00:00,233.6730,234.4730,233.2700,233.4070,673428
2022-06-28 14:55:00,234.2700,234.5000,233.6400,233.6700,377658
2022-06-28 14:50:00,234.7570,234.8070,234.1100,234.2650,380508
2022-06-28 14:45:00,233.4770,234.7670,233.2770,234.6870,632691
2022-06-28 14:40:00,233.5500,233.7730,232.7670,233.4720,591171
2022-06-28 14:35:00,233.5680,233.9330,233.4530,233.6400,255075
2022-06-28 14:30:00,234.1740,234.2200,233.4400,233.5470,254850
2022-06-28 14:25:00,234.1000,234.3770,233.8730,234.1750,394059
2022-06-28 14:20:00,233.3900,234.3330,233.3330,234.0840,470094
2022-06-28 14:15:00,233.4500,233.9670,232.9370,233.4130,684807
2022-06-28 14:10:00,233.8830,234.0000,233.3370,233.4330,577605
2022-06-28 14:05:00,234.0960,234.3200,233.6000,233.9000,335682
2022-06-28 14:00:00,234.1930,235.0670,234.0630,234.0670,392283
2022-06-28 13:55:00,234.5410,234.7550,234.0830,234.2020,247137
2022-06-28 13:50:00,234.8930,235.0870,234.4000,234.5530,288837
2022-06-28 13:45:00,234.2460,234.9330,234.2460,234.8700,396048
2022-06-28 13:40:00,234.0520,234.7760,234.0130,234.2430,373287
2022-06-28 13:35:00,234.4900,234.6000,233.9130,234.0570,321069
2022-06-28 13:30:00,234.6820,234.8630,234.3570,234.5430,302364
2022-06-28 13:25:00,234.4600,234.9430,234.0570,234.6930,449385
2022-06-28 13:20:00,234.2000,234.7370,233.5630,234.4750,957009
2022-06-28 13:15:00,234.4730,234.7970,234.1670,234.2170,429120
2022-06-28 13:10:00,234.5470,234.9520,234.2100,234.4600,566574
2022-06-28 13:05:00,235.7530,235.8330,234.5070,234.5070,569859
